                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6779,                 2.6076,                 2.3286,                0.50183,                0.18751,                0.17514,                0.08461,                 1.7599,                  1.428,                 1.4832,               0.070007,              0.0033326,              0.0033326
                      1,                 1.6851,                 1.3506,                 1.4065,                0.39698,                0.31162,                0.30162,                0.15715,                 1.4796,                 1.0758,                 1.2785,               0.039985,              0.0066439,              0.0066439
                      2,                 1.5218,                 1.1316,                 1.2857,                0.47858,                0.37668,                0.38885,                0.20949,                 1.3998,                0.94633,                 1.2121,              0.0099409,              0.0099332,              0.0099332
                      3,                 1.4568,                 1.0372,                 1.2264,                0.53329,                0.40671,                0.44116,                0.24516,                 1.3688,                0.89143,                 1.1702,               0.009901,               0.009901,               0.009901
                      4,                 1.4194,                0.97476,                 1.1896,                0.56366,                0.43394,                  0.478,                0.26792,                 1.3519,                0.85221,                 1.1492,               0.009901,               0.009901,               0.009901
                      5,                 1.3928,                0.93754,                 1.1699,                0.68368,                0.45811,                 0.4997,                0.28339,                 1.3403,                0.82851,                 1.1405,               0.009868,               0.009868,               0.009868
                      6,                 1.3754,                0.91178,                 1.1575,                0.67669,                0.47396,                0.51242,                0.29298,                 1.3286,                0.80996,                 1.1318,               0.009835,               0.009835,               0.009835
                      7,                 1.3653,                0.89467,                 1.1501,                0.69942,                0.47384,                0.52309,                0.29945,                 1.3215,                0.79648,                 1.1261,               0.009802,               0.009802,               0.009802
                      8,                 1.3551,                  0.879,                 1.1424,                0.70266,                0.48232,                0.53117,                0.30643,                 1.3178,                0.78753,                 1.1228,               0.009769,               0.009769,               0.009769
                      9,                 1.3483,                0.86897,                 1.1383,                0.70499,                0.48922,                0.53913,                0.31143,                 1.3137,                0.78088,                 1.1195,               0.009736,               0.009736,               0.009736
                     10,                  1.341,                0.85812,                 1.1318,                 0.7145,                0.49232,                0.54472,                0.31495,                 1.3109,                0.77525,                 1.1167,               0.009703,               0.009703,               0.009703
                     11,                 1.3376,                0.85206,                 1.1284,                0.71647,                0.49477,                0.54828,                0.31695,                 1.3092,                0.77098,                 1.1149,                0.00967,                0.00967,                0.00967
                     12,                 1.3325,                0.84404,                 1.1257,                0.72048,                0.49583,                0.55065,                0.31914,                 1.3079,                0.76753,                 1.1134,               0.009637,               0.009637,               0.009637
                     13,                 1.3271,                0.83799,                 1.1224,                 0.7251,                0.49812,                0.55303,                0.32036,                 1.3062,                0.76476,                 1.1121,               0.009604,               0.009604,               0.009604
                     14,                 1.3239,                0.83381,                 1.1208,                0.72959,                0.49811,                0.55464,                0.32143,                  1.305,                0.76256,                 1.1111,               0.009571,               0.009571,               0.009571
                     15,                  1.321,                0.82877,                 1.1186,                0.72675,                 0.4995,                0.55562,                 0.3229,                 1.3038,                0.76081,                 1.1102,               0.009538,               0.009538,               0.009538
