                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.8682,                 17.877,                 4.1982,                0.06053,                0.00495,                0.00201,                0.00069,                 3.3883,                 19.395,                 3.0113,               0.070083,              0.0033242,              0.0033242
                      1,                 2.3165,                 4.5155,                 1.6847,                0.19747,                0.23698,                0.13193,                0.07936,                 1.5521,                  2.424,                  1.212,               0.040061,              0.0066355,              0.0066355
                      2,                 1.5926,                 2.9467,                  1.167,                  0.288,                0.35045,                0.21731,                0.13753,                 1.3134,                 2.2038,                 1.0712,               0.010017,              0.0099249,              0.0099249
                      3,                 1.3872,                 2.3462,                   1.06,                0.36902,                 0.4707,                0.33712,                0.21027,                  1.156,                 1.9553,                0.98904,               0.009901,               0.009901,               0.009901
                      4,                 1.2671,                 1.9579,                 1.0039,                 0.4571,                0.47345,                 0.3894,                0.25489,                 1.0628,                 1.5329,                0.96284,               0.009901,               0.009901,               0.009901
                      5,                 1.1789,                 1.6877,                0.98293,                0.40059,                0.54577,                0.44635,                 0.3029,                 1.0075,                 1.3894,                0.93514,               0.009868,               0.009868,               0.009868
                      6,                 1.1495,                   1.55,                0.96091,                0.38258,                0.54228,                0.46709,                0.32073,                0.99093,                   1.32,                0.92864,               0.009835,               0.009835,               0.009835
                      7,                 1.1016,                 1.4471,                0.94888,                0.44578,                0.60416,                0.51993,                0.36111,                0.97451,                  1.238,                0.92074,               0.009802,               0.009802,               0.009802
                      8,                  1.081,                 1.3657,                0.93819,                0.43791,                0.59331,                0.53511,                0.37197,                0.96778,                 1.1804,                0.91826,               0.009769,               0.009769,               0.009769
                      9,                 1.0635,                 1.2898,                0.92959,                0.51266,                0.61473,                0.58314,                0.41279,                0.94247,                 1.1293,                0.90761,               0.009736,               0.009736,               0.009736
                     10,                 1.0499,                 1.2538,                0.92864,                0.50282,                0.64437,                0.58632,                0.41798,                0.92636,                 1.0925,                0.90378,               0.009703,               0.009703,               0.009703
                     11,                 1.0451,                 1.2258,                0.92092,                0.54771,                0.64398,                0.62476,                0.44279,                0.93213,                 1.0636,                0.90271,                0.00967,                0.00967,                0.00967
                     12,                 1.0235,                  1.169,                0.92325,                0.56119,                0.68247,                0.62682,                0.44916,                 0.9093,                 1.0729,                0.90005,               0.009637,               0.009637,               0.009637
                     13,                 1.0067,                 1.1535,                0.91875,                0.54329,                 0.6695,                0.63381,                0.46045,                0.91049,                 1.0238,                0.89804,               0.009604,               0.009604,               0.009604
                     14,                 1.0026,                  1.113,                0.91094,                0.58255,                0.67033,                0.65617,                0.46975,                0.93646,                0.97656,                0.90255,               0.009571,               0.009571,               0.009571
                     15,                0.99434,                 1.0952,                0.91087,                   0.63,                0.65982,                0.67726,                 0.4919,                0.89398,                0.94198,                 0.8918,               0.009538,               0.009538,               0.009538
                     16,                0.99829,                 1.0589,                 0.9078,                0.61679,                0.68091,                0.68724,                0.50061,                0.89287,                 0.9307,                0.88954,               0.009505,               0.009505,               0.009505
                     17,                0.99648,                 1.0361,                0.90655,                0.64342,                0.70731,                0.72638,                0.53303,                0.88838,                0.88403,                0.88643,               0.009472,               0.009472,               0.009472
                     18,                0.97558,                 1.0049,                0.90571,                0.66733,                0.69681,                0.73268,                0.53997,                 0.8809,                0.88375,                0.88608,               0.009439,               0.009439,               0.009439
