                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8106,                 3.8707,                  3.049,                0.14989,                0.05533,                0.03355,                0.01428,                 2.7037,                 2.9642,                 1.9784,               0.070034,              0.0033295,              0.0033295
                      1,                 2.4112,                 2.4522,                 1.7714,                0.26137,                0.09571,                0.08004,                0.03812,                 2.2045,                 2.3309,                 1.5774,               0.040012,              0.0066409,              0.0066409
                      2,                 2.0995,                 2.1076,                 1.5191,                0.27848,                0.14993,                0.12162,                0.06023,                 1.9964,                 1.9786,                  1.439,              0.0099682,              0.0099302,              0.0099302
                      3,                 1.9223,                 1.8571,                 1.3961,                0.25723,                0.19808,                 0.1583,                0.08465,                 1.8021,                 1.7537,                 1.3129,               0.009901,               0.009901,               0.009901
                      4,                 1.7853,                 1.6583,                 1.3217,                0.28163,                0.21596,                0.18297,                0.09653,                 1.7958,                 1.6328,                 1.3009,               0.009901,               0.009901,               0.009901
                      5,                 1.7093,                 1.5373,                  1.274,                0.30468,                0.23832,                0.20441,                0.11231,                 1.6796,                 1.5272,                 1.2382,               0.009868,               0.009868,               0.009868
                      6,                 1.6458,                 1.4519,                 1.2432,                0.31571,                0.25398,                 0.2214,                0.12235,                 1.6512,                 1.4821,                 1.2236,               0.009835,               0.009835,               0.009835
                      7,                 1.6059,                  1.385,                 1.2194,                0.33884,                0.28068,                0.24355,                0.13612,                 1.5953,                 1.4043,                 1.1924,               0.009802,               0.009802,               0.009802
                      8,                 1.5768,                 1.3409,                 1.2026,                0.34746,                0.28937,                0.25284,                0.14037,                 1.6101,                 1.3744,                 1.1924,               0.009769,               0.009769,               0.009769
                      9,                  1.552,                 1.2975,                 1.1899,                0.37541,                0.28462,                0.25904,                0.14354,                 1.5841,                 1.3384,                 1.1843,               0.009736,               0.009736,               0.009736
                     10,                 1.5221,                 1.2644,                  1.177,                0.36441,                0.30827,                0.27518,                 0.1559,                 1.5488,                 1.2894,                 1.1667,               0.009703,               0.009703,               0.009703
                     11,                 1.5009,                 1.2346,                 1.1633,                0.39032,                0.31373,                0.28707,                0.16115,                 1.5479,                 1.2698,                 1.1586,                0.00967,                0.00967,                0.00967
                     12,                 1.4896,                 1.2082,                 1.1545,                0.39339,                0.31182,                0.28853,                0.16359,                 1.5299,                 1.2619,                 1.1502,               0.009637,               0.009637,               0.009637
                     13,                 1.4652,                 1.1822,                 1.1425,                0.41058,                0.32599,                0.29731,                0.16802,                 1.5445,                 1.2517,                 1.1508,               0.009604,               0.009604,               0.009604
                     14,                 1.4658,                 1.1756,                 1.1432,                0.40664,                0.33573,                0.30321,                0.17192,                 1.5266,                 1.2345,                 1.1387,               0.009571,               0.009571,               0.009571
                     15,                  1.459,                  1.163,                 1.1335,                0.40696,                0.33317,                0.30612,                0.17437,                 1.5234,                 1.2221,                 1.1354,               0.009538,               0.009538,               0.009538
                     16,                 1.4526,                 1.1521,                 1.1244,                0.43165,                0.32859,                0.31551,                0.18007,                 1.5209,                 1.2138,                 1.1289,               0.009505,               0.009505,               0.009505
                     17,                 1.4522,                 1.1437,                 1.1189,                0.42403,                0.33731,                0.31774,                0.18138,                 1.5223,                 1.2134,                 1.1226,               0.009472,               0.009472,               0.009472
                     18,                 1.4401,                 1.1266,                 1.1125,                0.44077,                0.34677,                0.32825,                0.18782,                 1.5133,                 1.1911,                  1.115,               0.009439,               0.009439,               0.009439
                     19,                 1.4354,                 1.1202,                 1.1087,                 0.4486,                 0.3486,                0.33075,                0.19056,                 1.5037,                 1.1938,                  1.111,               0.009406,               0.009406,               0.009406
                     20,                 1.4269,                 1.1092,                 1.1036,                0.44726,                0.35392,                0.33707,                0.19288,                 1.5121,                 1.1693,                 1.1132,               0.009373,               0.009373,               0.009373
                     21,                 1.4216,                 1.0942,                 1.0972,                0.44304,                0.35488,                0.33635,                0.19416,                  1.486,                  1.172,                 1.1025,                0.00934,                0.00934,                0.00934
                     22,                 1.4162,                 1.0902,                 1.0912,                0.46615,                0.35731,                0.34326,                0.19695,                  1.497,                 1.1624,                 1.1039,               0.009307,               0.009307,               0.009307
                     23,                 1.4014,                 1.0716,                 1.0909,                0.45166,                0.36004,                0.34066,                0.19377,                 1.5039,                 1.1706,                 1.1079,               0.009274,               0.009274,               0.009274
